# tracer: nop
#
# entries-in-buffer/entries-written: 2647/2647   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-36697   [031] ..... 136276.018621: kvm_unmap_hva_range: mmu notifier unmap range: 0x0070f1aac05000 -- 0x0070f1aac06000
             vmm-36697   [031] d..1. 136276.020200: kvm_entry: vcpu 0, rip 0x0
             vmm-36697   [031] d..1. 136276.020239: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x0 info1 0x0000000000000784 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-36697   [031] ..... 136276.020264: kvm_page_fault: vcpu 0 rip 0x0 address 0x0000000000000000 error_code 0x784
             vmm-36697   [031] ...1. 136276.020295: kvm_mmu_spte_requested: gfn 0 pfn 1980dc3 level 1
             vmm-36697   [031] ...1. 136276.020299: kvm_tdp_mmu_spte_changed: as id 0 gfn 0 level 4 old_spte 0 new_spte 18af606907
             vmm-36697   [031] ...1. 136276.020301: kvm_tdp_mmu_spte_changed: as id 0 gfn 0 level 3 old_spte 0 new_spte 18af605907
             vmm-36697   [031] ...1. 136276.020302: kvm_tdp_mmu_spte_changed: as id 0 gfn 0 level 2 old_spte 0 new_spte 18af604907
             vmm-36697   [031] ...1. 136276.020306: kvm_tdp_mmu_spte_changed: as id 0 gfn 0 level 1 old_spte 0 new_spte 600001980dc3b77
             vmm-36697   [031] ...1. 136276.020343: kvm_mmu_set_spte: gfn 0 spte 600001980dc3b77 (rwxu) level 1 at 18af604000
             vmm-36697   [031] d..1. 136276.020377: kvm_entry: vcpu 0, rip 0x0
             vmm-36697   [031] d..1. 136276.020413: kvm_exit: vcpu 0 reason CR_ACCESS rip 0xd info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-36697   [031] d..1. 136276.020441: kvm_entry: vcpu 0, rip 0x10
             vmm-36697   [031] d..1. 136276.020468: kvm_exit: vcpu 0 reason CPUID rip 0x2c info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-36697   [031] d..1. 136276.020490: kvm_entry: vcpu 0, rip 0x2e
             vmm-36697   [031] d..1. 136276.020515: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x39 info1 0x0000000000000782 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-36697   [031] ..... 136276.020546: kvm_page_fault: vcpu 0 rip 0x39 address 0x0000000000007000 error_code 0x782
             vmm-36697   [031] ...1. 136276.020593: kvm_mmu_spte_requested: gfn 7 pfn 19816e1 level 1
             vmm-36697   [031] ...1. 136276.020596: kvm_tdp_mmu_spte_changed: as id 0 gfn 7 level 1 old_spte 0 new_spte 6000019816e1b77
             vmm-36697   [031] ...1. 136276.020623: kvm_mmu_set_spte: gfn 7 spte 6000019816e1b77 (rwxu) level 1 at 18af604038
             vmm-36697   [031] d..1. 136276.020647: kvm_entry: vcpu 0, rip 0x39
             vmm-36697   [031] d..1. 136276.020675: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0x41 info1 0x0000000000e90040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-36697   [031] ..... 136276.020719: kvm_userspace_exit: reason KVM_EXIT_IO (2)
             vmm-36697   [031] ..... 136276.020919: kvm_unmap_hva_range: mmu notifier unmap range: 0x0070f1aad47000 -- 0x0070f1aad48000
             vmm-36697   [031] ...1. 136276.020923: kvm_tdp_mmu_spte_changed: as id 0 gfn 7 level 1 old_spte 6000019816e1b77 new_spte 0
             vmm-36697   [031] d..1. 136276.021149: kvm_entry: vcpu 0, rip 0x43
             vmm-36697   [031] d..1. 136276.021186: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x43 info1 0x0000000000000782 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
