# tracer: nop
#
# entries-in-buffer/entries-written: 178/178   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-24609   [014] d..1. 87078.851603: kvm_entry: vcpu 0, rip 0x0
             vmm-24609   [014] d..1. 87078.851629: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x0 info1 0x0000000000000784 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.851639: kvm_page_fault: vcpu 0 rip 0x0 address 0x0000000000000000 error_code 0x784
             vmm-24609   [014] d..1. 87078.851670: kvm_entry: vcpu 0, rip 0x0
             vmm-24609   [014] d..1. 87078.851681: kvm_exit: vcpu 0 reason CR_ACCESS rip 0xd info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.851684: kvm_cr: cr_write 0 = 0x60000011
             vmm-24609   [014] d..1. 87078.851698: kvm_entry: vcpu 0, rip 0x10
             vmm-24609   [014] d..1. 87078.851709: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x147 info1 0x0000000000000782 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.851710: kvm_page_fault: vcpu 0 rip 0x147 address 0x0000000000001200 error_code 0x782
             vmm-24609   [014] d..1. 87078.851724: kvm_entry: vcpu 0, rip 0x147
             vmm-24609   [014] d..1. 87078.851734: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0x2e info1 0x0000000000210040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.851736: kvm_pio: pio_write at 0x21 size 1 count 1 val 0xff 
             vmm-24609   [014] d..1. 87078.851755: kvm_entry: vcpu 0, rip 0x30
             vmm-24609   [014] d..1. 87078.851765: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0x30 info1 0x0000000000a10040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.851766: kvm_pio: pio_write at 0xa1 size 1 count 1 val 0xff 
             vmm-24609   [014] d..1. 87078.851780: kvm_entry: vcpu 0, rip 0x32
