# tracer: nop
#
# entries-in-buffer/entries-written: 206/206   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-26879   [002] d..1. 99969.579748: kvm_entry: vcpu 0, rip 0x0
             vmm-26879   [002] d..1. 99969.579763: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x0 info1 0x0000000000000784 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] d..1. 99969.579790: kvm_entry: vcpu 0, rip 0x0
             vmm-26879   [002] d..1. 99969.579796: kvm_exit: vcpu 0 reason CR_ACCESS rip 0xd info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] d..1. 99969.579803: kvm_entry: vcpu 0, rip 0x10
             vmm-26879   [002] d..1. 99969.579808: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x27 info1 0x0000000000000781 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.579831: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000000 val 0x0
             vmm-26879   [002] ..... 99969.579837: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] ..... 99969.579932: kvm_mmio: mmio read len 4 gpa 0x10000000 val 0x74726976
             vmm-26879   [002] d..1. 99969.579938: kvm_entry: vcpu 0, rip 0x2c
             vmm-26879   [002] d..1. 99969.579946: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x37 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.579954: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000004 val 0x0
             vmm-26879   [002] ..... 99969.579959: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] ..... 99969.580020: kvm_mmio: mmio read len 4 gpa 0x10000004 val 0x2
             vmm-26879   [002] d..1. 99969.580024: kvm_entry: vcpu 0, rip 0x3c
             vmm-26879   [002] d..1. 99969.580032: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x45 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580040: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000008 val 0x0
             vmm-26879   [002] ..... 99969.580045: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] ..... 99969.580088: kvm_mmio: mmio read len 4 gpa 0x10000008 val 0x4
             vmm-26879   [002] d..1. 99969.580091: kvm_entry: vcpu 0, rip 0x4a
             vmm-26879   [002] d..1. 99969.580099: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x53 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580107: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x1000000c val 0x0
             vmm-26879   [002] ..... 99969.580112: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
